33153	
	2.216641346e-35	2.372603392e-33	1.629758879e-33	1.723343381e-33	1.599503398e-33
	1.539920381e-33	1.468548425e-33	1.40528589e-33	1.344391705e-33	1.287048467e-33
	1.232626559e-33	1.181017146e-33	1.132001191e-33	1.085413992e-33	1.041097508e-33
	9.989102512e-34	9.587222781e-34	9.204145852e-34	8.838776414e-34	8.490104036e-34
	8.157194077e-34	7.839180044e-34	7.53525692e-34	7.244675372e-34	6.966736661e-34
	6.700788166e-34	6.446219419e-34	6.202458584e-34	5.968969311e-34	5.745247927e-34
	5.5308209e-34	5.325242565e-34	5.128093062e-34	4.938976467e-34	4.757519095e-34
	4.583367956e-34	4.41618934e-34	4.255667529e-34	4.10150361e-34	3.953414387e-34
	3.811131384e-34	3.67439992e-34	3.542978257e-34	3.416636814e-34	3.295157439e-34
	3.178332731e-34	3.065965412e-34	2.957867749e-34	2.853861003e-34	2.753774931e-34
	2.65744731e-34	2.564723496e-34	2.475456015e-34	2.389504178e-34	2.306733715e-34
	2.227016444e-34	2.15022995e-34	2.076257289e-34	2.004986704e-34	1.936311368e-34
	1.870129135e-34	1.806342304e-34	1.744857403e-34	1.685584977e-34	1.628439402e-34
	1.57333869e-34	1.520204321e-34	1.46896108e-34	1.419536895e-34	1.371862696e-34
	1.325872271e-34	1.281502139e-34	1.238691418e-34	1.197381715e-34	1.157517007e-34
	1.119043535e-34	1.081909706e-34	1.046065996e-34	1.011464854e-34	9.780606238e-35
	9.458094522e-35	9.146692171e-35	8.845994497e-35	8.555612645e-35	8.275172912e-35
	8.004316105e-35	7.742696925e-35	7.489983382e-35	7.245856237e-35	7.010008472e-35
	6.782144777e-35	6.561981073e-35	6.349244045e-35	6.143670701e-35	5.945007954e-35
	5.753012213e-35	5.567449007e-35	5.38809261e-35	5.214725695e-35	5.047138994e-35
	4.885130981e-35	4.728507561e-35	4.577081779e-35	4.430673536e-35	4.289109324e-35
	4.152221962e-35	4.019850356e-35	3.891839258e-35	3.768039042e-35	3.648305485e-35
	3.532499562e-35	3.420487244e-35	3.312139309e-35	3.207331158e-35	3.10594264e-35
	3.007857884e-35	2.912965135e-35	2.821156603e-35	2.732328313e-35	2.646379959e-35
	2.563214774e-35	2.482739391e-35	2.404863723e-35	2.329500839e-35	2.256566849e-35
	2.185980791e-35	2.117664524e-35	2.051542628e-35	1.987542302e-35	1.92559327e-35
	1.865627691e-35	1.807580069e-35	1.751387173e-35	1.696987951e-35	1.644323459e-35
	1.59333678e-35	1.543972958e-35	1.496178927e-35	1.449903445e-35	1.405097032e-35
	1.361711911e-35	1.319701946e-35	1.279022592e-35	1.239630839e-35	1.201485161e-35
	1.164545469e-35	1.128773067e-35	1.094130605e-35	1.060582038e-35	1.028092589e-35
	9.966287108e-36	9.661580506e-36	9.366494186e-36	9.080727569e-36	8.803991122e-36
	8.536006098e-36	8.27650431e-36	8.02522792e-36	7.781929266e-36	7.546370707e-36
	7.318324505e-36	7.097572733e-36	6.883907222e-36	6.677129541e-36	6.477051011e-36
	6.283492777e-36	6.096285904e-36	5.915271547e-36	5.740301156e-36	5.571236755e-36
	5.407951285e-36	5.250329015e-36	5.098266051e-36	4.951670917e-36	4.810465257e-36
	4.67458464e-36	4.543979494e-36	4.41861619e-36	4.298478278e-36	4.183567908e-36
	4.073907448e-36	3.969541339e-36	3.870538191e-36	3.776993182e-36	3.689030764e-36
